# Continuum-limit lattice glueball spectrum, compiled for the T1(+-) / 1(+-) flat-band program.
# Primary source for SU(3) full J^PC spectrum: Morningstar & Peardon 1999, Phys.Rev.D60 034509, arXiv:hep-lat/9901004 (Table VII).
#   r0_m = r0 * m_G  (r0 the Sommer scale; dimensionless, scale-setting-independent ratios derive from this).
#   mass_MeV uses r0^-1 = 410(20) MeV as in MP1999. First/second uncertainties combined in quadrature here; see README for split.
# m_over_sqrtsigma_derived = r0_m / (r0*sqrt(sigma)), using r0*sqrt(sigma)=1.19 [Necco-Sommer/Lucini-Teper], flagged DERIVED.
# m_over_sqrtsigma_AT = continuum value in sqrt(sigma) units from Athenodorou-Teper SU(3), arXiv:2007.06422 / SU(N) arXiv:2106.00364 (where available, PUBLISHED).
# C = charge-conjugation parity. ratio_to_0pp = r0_m / r0_m(0++).  our_work_channel flags the lightest C-odd state = paper's object.
JPC,R_PC_lattice,C,r0_m,r0_m_unc,mass_MeV,mass_MeV_unc,m_over_sqrtsigma_derived,m_over_sqrtsigma_AT,ratio_to_0pp,continuum_J,our_work_channel,source
0++,A1++,+,4.21,0.12,1730,94,3.54,3.405,1.000,0,no,MP1999
2++,E++/T2++,+,5.85,0.06,2400,123,4.92,,1.390,2,no,MP1999
0-+,A1-+,+,6.33,0.09,2590,136,5.32,,1.504,0,no,MP1999
0*++,A1++(exc),+,6.50,0.45,2670,222,5.46,,1.544,0,no,MP1999
1+-,T1+-,-,7.18,0.08,2940,143,6.03,,1.705,1,YES_lightest_C_odd,MP1999
2-+,E-+/T2-+,+,7.55,0.09,3100,153,6.34,,1.793,2,no,MP1999
3+-,A2+-/T1+-/T2+-,-,8.66,0.10,3550,175,7.28,,2.057,3,no,MP1999
0*-+,A1-+(exc),+,8.88,0.14,3640,189,7.46,,2.109,0,no,MP1999
3++,A2++/T1++/T2++,+,9.00,0.20,3690,184,7.56,,2.137,3,no,MP1999
2+-,E+-/T2+-,-,10.10,0.30,4140,206,8.49,,2.399,2(exotic),no,MP1999
0+-,A1+-,-,11.56,0.40,4740,240,9.71,,2.745,0(exotic),no,MP1999
