u,lowest_energy_O2_normal_form,second_energy_O2_normal_form,gap,lowest_shell4_weight,lowest_shell6_lower_weight,lowest_shell6_middle_weight,lowest_shell6_upper_weight
0.0,2.6666666666666665,4.0,1.3333333333333335,1.0,0.0,0.0,0.0
0.001,2.6676667015984927,3.9990429023544043,1.3313762007559116,0.9999989984763423,2.5073541832932687e-07,5.007620749246772e-07,2.500261643641088e-07
0.002,2.668666802202963,3.9980572283100213,1.3293904261070582,0.9999959876206512,1.005938683444238e-06,2.0061936076909834e-06,1.0002470575721465e-06
0.003,2.6696669619054676,3.9970429791484037,1.327376017242936,0.9999909575752943,2.2702312507674686e-06,4.521232242994911e-06,2.2509612121219846e-06
0.004,2.6706671737448784,3.9960001562417347,1.3253329824968563,0.9999838979033229,4.0484051004004386e-06,8.05111113107424e-06,4.0025804456117515e-06
0.005,2.671667430370455,3.9949287610533246,1.3232613306828696,0.999974797581667,6.345426084900708e-06,1.2601362300664882e-05,6.255629947314653e-06
0.006,2.6726677240386034,3.9938287951381923,1.321161071099589,0.9999636449940149,9.166437390635851e-06,1.8177820189054225e-05,9.010748405552277e-06
0.007,2.6736680466095,3.9927002601435935,1.3190322135340935,0.9999504279233759,1.2516763116088246e-05,2.4786625332208344e-05,1.2268688175782573e-05
0.008,2.6746683895435632,3.9915431578096388,1.3168747682660755,0.9999351335443222,1.640191197061098e-05,3.2434228218077325e-05,1.603031548933433e-05
0.009000000000000001,2.675668743897788,3.9903574899699383,1.3146887460721501,0.9999177484148933,2.0827581097261515e-05,4.1127393306313185e-05,2.0296610702735466e-05
0.01,2.6766691003219254,3.989143258552237,1.3124741582303114,0.999898258468171,2.5799660023480025e-05,5.0873203217772924e-05,2.506866858759855e-05
0.011,2.6776694490545108,3.9879004655791466,1.3102310165246358,0.999876649003498,3.132423474351188e-05,6.16790630973136e-05,3.03476986610411e-05
0.012,2.6786697799187413,3.986629113168827,1.3079593332500856,0.9998529046773531,3.740759193662893e-05,7.355270515353558e-05,3.6135025556635013e-05
0.013000000000000001,2.679670082318191,3.985329203535775,1.3056591212175839,0.9998270094938594,4.405622332534373e-05,8.650219337926805e-05,4.243208943589042e-05
