N_label,N_numeric,gauge_group,inv_N2,J,P,C,JPC,level,mass_over_sqrt_sigma,mass_error,value_type,data_stage,ambiguity_flag,continuum_spin_from_cubic_irreps,source_table,source_pdf_page,source_short,source_url
2,2,SU(2),0.25,0,+,+,0++,gs,3.781,0.023,estimate,continuum_extrapolated,none,A1++ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
2,2,SU(2),0.25,0,+,+,0++,ex1,6.126,0.038,estimate,continuum_extrapolated,none,A1++ ex1,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
2,2,SU(2),0.25,2,+,+,2++,gs,5.349,0.02,estimate,continuum_extrapolated,none,E++ gs + T2++ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
2,2,SU(2),0.25,2,+,+,2++,ex1,7.22,0.06,estimate,continuum_extrapolated,likely,E++ ex1 + T2++ ex1,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
2,2,SU(2),0.25,3,+,+,3++,gs,8.13,0.08,estimate,continuum_extrapolated,likely,A2++ gs + T1++ + T2++,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
2,2,SU(2),0.25,0,-,+,0-+,gs,6.017,0.061,estimate,continuum_extrapolated,none,A1-+ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
2,2,SU(2),0.25,0,-,+,0-+,ex1,8.0,0.15,estimate,continuum_extrapolated,none,A1-+ ex1,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
2,2,SU(2),0.25,2,-,+,2-+,gs,7.017,0.05,estimate,continuum_extrapolated,none,E-+ gs + T2-+ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
2,2,SU(2),0.25,2,-,+,2-+,ex1,8.521,0.065,estimate,continuum_extrapolated,none,E-+ ex1 + T2-+ ex1,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
2,2,SU(2),0.25,1,-,+,1-+,gs,9.06,0.13,estimate,continuum_extrapolated,none,T1-+ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
3,3,SU(3),0.1111111111111111,0,+,+,0++,gs,3.405,0.021,estimate,continuum_extrapolated,none,A1++ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
3,3,SU(3),0.1111111111111111,0,+,+,0++,ex1,5.855,0.041,estimate,continuum_extrapolated,none,A1++ ex1,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
3,3,SU(3),0.1111111111111111,2,+,+,2++,gs,4.894,0.022,estimate,continuum_extrapolated,none,E++ gs + T2++ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
3,3,SU(3),0.1111111111111111,2,+,+,2++,ex1,6.788,0.04,estimate,continuum_extrapolated,none,E++ ex1 + T2++ ex1,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
3,3,SU(3),0.1111111111111111,3,+,+,3++,gs,7.71,0.09,estimate,continuum_extrapolated,likely,A2++ gs + T1++ + T2++,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
3,3,SU(3),0.1111111111111111,4,+,+,4++,gs,7.6,0.12,estimate,continuum_extrapolated,likely,A1++ + E++ + T1++ + T2++,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
3,3,SU(3),0.1111111111111111,0,-,+,0-+,gs,5.276,0.045,estimate,continuum_extrapolated,none,A1-+ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
3,3,SU(3),0.1111111111111111,0,-,+,0-+,ex1,7.29,0.13,estimate,continuum_extrapolated,none,A1-+ ex1,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
3,3,SU(3),0.1111111111111111,2,-,+,2-+,gs,6.32,0.09,estimate,continuum_extrapolated,none,E-+ gs + T2-+ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
3,3,SU(3),0.1111111111111111,2,-,+,2-+,ex1,8.18,0.08,estimate,continuum_extrapolated,none,E-+ ex1 + T2-+ ex1,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
3,3,SU(3),0.1111111111111111,1,-,+,1-+,gs,8.48,0.12,estimate,continuum_extrapolated,none,T1-+ gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
3,3,SU(3),0.1111111111111111,2,+,-,2+-,gs,8.91,0.15,estimate,continuum_extrapolated,none,E+- gs + T2+- ex1,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
3,3,SU(3),0.1111111111111111,1,+,-,1+-,gs,6.065,0.04,estimate,continuum_extrapolated,none,T1+- gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
3,3,SU(3),0.1111111111111111,1,+,-,1+-,ex1,7.82,0.06,estimate,continuum_extrapolated,none,T1+- ex2,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
3,3,SU(3),0.1111111111111111,3,+,-,3+-,gs,7.27,0.12,estimate,continuum_extrapolated,none,A2+- gs + T1+- ex1 + T2+- gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
3,3,SU(3),0.1111111111111111,2,-,-,2--,gs,8.08,0.15,estimate,continuum_extrapolated,none,E-- gs + T2-- gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
3,3,SU(3),0.1111111111111111,1,-,-,1--,gs,8.31,0.1,estimate,continuum_extrapolated,none,T1-- gs,34,83,Athenodorou & Teper (2021),https://arxiv.org/pdf/2106.00364
