JPC,C_parity,level,m_over_sqrtsigma,mass_GeV,flag,source
0++,+,gs,3.405(21),1.653(26),,2007.06422 T17/T18
0++,+,excited,5.855(41),2.842(40),,2007.06422 T17/T18
0-+,+,gs,5.276(45),2.561(40),,2007.06422 T17/T18
0-+,+,excited,7.29(13),3.54(8),,2007.06422 T17/T18
2++,+,gs,4.894(22),2.376(32),,2007.06422 T17/T18
2++,+,excited,6.788(40),3.30(5),,2007.06422 T17/T18
2-+,+,gs,6.32(9),3.07(6),,2007.06422 T17/T18
2-+,+,excited,8.18(8),3.97(7),,2007.06422 T17/T18
1-+,+,gs,8.48(12),4.12(8),,2007.06422 T17/T18
1-+,+,excited-1,8.57(13),4.16(8),*,2007.06422 T17/T18
1-+,+,excited-2,8.66(15),4.20(9),*,2007.06422 T17/T18
3++,+,gs,7.71(9),3.74(7),*,2007.06422 T17/T18
4++,+,gs,7.60(12),3.69(8),*,2007.06422 T17/T18
1+-,-,gs,6.065(40),2.944(42),,2007.06422 T17/T18
1+-,-,excited,7.82(6),3.80(6),,2007.06422 T17/T18
2+-,-,gs,8.74(12),4.24(8),*,2007.06422 T17/T18
3+-,-,gs,7.27(12),3.53(8),,2007.06422 T17/T18
4+-,-,gs,9.02(10),4.38(8),**,2007.06422 T17/T18
1--,-,gs,8.31(10),4.03(7),,2007.06422 T17/T18
2--,-,gs,8.08(15),3.92(9),,2007.06422 T17/T18
