original_path	new_path	reason	size_bytes	md5
C:\ALL THEORY\# HODGE v10a.24c — production runti.txt	C:\ALL THEORY\records\transcripts\# HODGE v10a.24c — production runti.txt	run or session transcript	499749	ce0683b7374bfd20c65b406bbac22e88
C:\ALL THEORY\# HODGE v10a.26 — Factor-(5,2) Comp.txt	C:\ALL THEORY\records\transcripts\# HODGE v10a.26 — Factor-(5,2) Comp.txt	run or session transcript	639703	32ac44e7876dc691ced3b4180cdd071d
C:\ALL THEORY\## Assessment.txt	C:\ALL THEORY\records\transcripts\## Assessment.txt	run or session transcript	24111	e6ca0e8523c82f2a01ab76bf6396e20c
C:\ALL THEORY\#-Final-unified-theory.txt	C:\ALL THEORY\records\transcripts\#-Final-unified-theory.txt	run or session transcript	18746	ca54763ce852d581f5297ff057f14a4b
C:\ALL THEORY\00-features.md	C:\ALL THEORY\records\audits\00-features.md	pattern ^\d\d-.*\.md$	10771	8c4fe17b81db6afe5ee65adb7982679b
C:\ALL THEORY\LIT_Y6_0005009v1.pdf	C:\ALL THEORY\literature\LIT_Y6_0005009v1.pdf	external/third-party paper	167075	55886d77c54831e65d2d4e8c7fa053ab
C:\ALL THEORY\01-theory-authority.md	C:\ALL THEORY\records\audits\01-theory-authority.md	pattern ^\d\d-.*\.md$	10354	2ff90b7fecc5ac3f5172cd095cd364a7
C:\ALL THEORY\02-duplication-report.md	C:\ALL THEORY\records\audits\02-duplication-report.md	pattern ^\d\d-.*\.md$	11687	c5a259efd4c152b020cb337950552cdc
C:\ALL THEORY\02-local-haar-electric.md	C:\ALL THEORY\records\audits\02-local-haar-electric.md	pattern ^\d\d-.*\.md$	9215	f80b2ac91d8527819d42ec21d118c64e
C:\ALL THEORY\03-prism-selection-shape.md	C:\ALL THEORY\records\audits\03-prism-selection-shape.md	pattern ^\d\d-.*\.md$	8361	80e698dbe46f694761d476b51750865c
C:\ALL THEORY\03-unified-proposal.md	C:\ALL THEORY\records\audits\03-unified-proposal.md	pattern ^\d\d-.*\.md$	13097	c00e69100c0a60d8d5e6190b2d284373
C:\ALL THEORY\04-anchored-krylov-prototypes.md	C:\ALL THEORY\records\audits\04-anchored-krylov-prototypes.md	pattern ^\d\d-.*\.md$	13251	97b64e25cf428e6558379d4d807664bd
C:\ALL THEORY\04-handoff-prompts.md	C:\ALL THEORY\records\audits\04-handoff-prompts.md	pattern ^\d\d-.*\.md$	3936	ec4982a963f9fcb8809ad8afefb8fe59
