tier,category,year,title,authors,publication_status,journal_reference,doi,arxiv_id,arxiv_version,primary_arxiv_category,citation_count,citation_count_without_self_citations,citation_source,citation_as_of,inspire_recid,workhouse_connection,landing_url,pdf_url,local_file,downloaded,pages,sha256,published,updated,abstract
core,hamiltonian_quantum,2025,Improved Honeycomb and Hyperhoneycomb Lattice Hamiltonians for Quantum Simulations of Non-Abelian Gauge Theories,Marc Illa; Martin J. Savage; Xiaojun Yao,journal/proceedings record,"Phys.Rev.D 111 (2025) 11, 114520",10.1103/3rwf-f844,2503.09688,2503.09688v2,hep-lat,22,11,INSPIRE,2026-08-21,2899792,improved non-Abelian Hamiltonian lattices,https://arxiv.org/abs/2503.09688v2,https://arxiv.org/pdf/2503.09688v2,papers/core_cited_and_canonical/07_hamiltonian_and_gauge_invariant_formulations/2025_Illa_2503.09688.pdf,True,12,df674b88783bf478316bcea9397e4d98d30a45bc19438c3b5f62d580887f2c4d,2025-03-12,2025-06-26,"Improved Kogut-Susskind Hamiltonians for quantum simulations of non-Abelian Yang-Mills gauge theories are developed for honeycomb (2+1D) and hyperhoneycomb (3+1D) spatial tessellations. This is motivated by the desire to identify lattices for quantum simulations that involve only 3-link vertices among the gauge field group spaces in order to reduce the complexity in applications of the plaquette operator. For the honeycomb lattice, we derive a classically ${\cal O}(b^2)$-improved Hamiltonian, with $b$ being the lattice spacing. Tadpole improvement via the mean-field value of the plaquette operator is used to provide the corresponding quantum improvements. We have identified the (non-chiral) hyperhoneycomb as a candidate spatial tessellation for 3+1D quantum simulations of gauge theories, and determined the associated ${\cal O}(b)$-improved Hamiltonian."
core,rigorous_lgt,2024,Bootstrap for Finite N Lattice Yang-Mills Theory,Vladimir Kazakov; Zechuan Zheng,journal/proceedings record,JHEP 03 (2025) 099,10.1007/JHEP03(2025)099,2404.16925,2404.16925v4,hep-th,31,27,INSPIRE,2026-08-21,2781247,finite-N lattice Yang-Mills bootstrap,https://arxiv.org/abs/2404.16925v4,https://arxiv.org/pdf/2404.16925v4,papers/core_cited_and_canonical/04_rigorous_lattice_yang_mills/2024_Kazakov_2404.16925.pdf,True,43,392052f409cfa442ef0c4b0ae8c1a9b426ef7c2afd811c4734ded71081b11678,2024-04-25,2024-12-04,"We introduce a comprehensive framework for analyzing finite $N$ lattice Yang-Mills theory and finite $N$ matrix models. Utilizing this framework, we examine the bootstrap approach to SU(2) Lattice Yang-Mills Theory in 2,3 and 4 dimensions. The SU(2) Makeenko-Migdal loop equations on the lattice are linear and closed exclusively on single-trace Wilson loops. This inherent linearity significantly enhances the efficiency of the bootstrap approach due to the convex nature of the problem, permitting the inclusion of Wilson loops up to length 24. The exact upper and lower margins for the free energy per plaquette, derived from our bootstrap method, demonstrate good agreement with Monte Carlo data, achieving precision within $0.1\%$ for the physically relevant range of couplings in both three and four dimensions. Additionally, our bootstrap data provides estimates of the string tension, in qualitative agreement with existing Monte Carlo computations."
core,rigorous_lgt,2022,A new derivation of the finite $N$ master loop equation for lattice Yang-Mills,Hao Shen; Scott A. Smith; Rongchan Zhu,journal/proceedings record,Electron.J.Probab. 29 (2023) 29,10.1214/24-EJP1090,2202.00880,2202.00880v2,math.PR,14,8,INSPIRE,2026-08-21,2024837,"finite-N master loop equation for SU(N), U(N), and SO(N)",https://arxiv.org/abs/2202.00880v2,https://arxiv.org/pdf/2202.00880v2,papers/core_cited_and_canonical/04_rigorous_lattice_yang_mills/2022_Shen_2202.00880.pdf,True,16,28dea65f77872124de5253031f4c01938ebcbfe4d2f6578df41d1036b25a7630,2022-02-02,2024-02-06,"We give a new derivation of the finite $N$ master loop equation for lattice Yang-Mills theory with structure group $SO(N)$, $U(N)$ or $SU(N)$. The $SO(N)$ case was initially proved by Chatterjee in \cite{Cha}, and $SU(N)$ was analyzed in a follow-up work by Jafarov \cite{Jafar}. Our approach is based on the Langevin dynamic, an SDE on the manifold of configurations, and yields a simple proof via Itô's formula."
core,rigorous_lgt,2022,A stochastic analysis approach to lattice Yang--Mills at strong coupling,Hao Shen; Rongchan Zhu; Xiangchan Zhu,journal/proceedings record,Commun.Math.Phys. 400 (2023) 805,10.1007/s00220-022-04609-1,2204.12737,2204.12737v1,math.PR,17,11,INSPIRE,2026-08-21,2072947,strong-coupling mass gap and exponential clustering,https://arxiv.org/abs/2204.12737v1,https://arxiv.org/pdf/2204.12737v1,papers/core_cited_and_canonical/04_rigorous_lattice_yang_mills/2022_Shen_2204.12737.pdf,True,43,21d0cf19e74e13f8468d1f980ba05849a781f28018301ea2b11d7551822597d1,2022-04-27,2022-04-27,"We develop a new stochastic analysis approach to the lattice Yang--Mills model at strong coupling in any dimension $d>1$, with t' Hooft scaling $βN$ for the inverse coupling strength. We study their Langevin dynamics, ergodicity, functional inequalities, large $N$ limits, and mass gap. Assuming $|β| < \frac{N-2}{32(d-1)N}$ for the structure group $SO(N)$, or $|β| < \frac{1}{16(d-1)}$ for $SU(N)$, we prove the following results. The invariant measure for the corresponding Langevin dynamic is unique on the entire lattice, and the dynamic is exponentially ergodic under a Wasserstein distance. The finite volume Yang--Mills measures converge to this unique invariant measure in the infinite volume limit, for which Log-Sobolev and Poincaré inequalities hold. These functional inequalities imply that the suitably rescaled Wilson loops for the infinite volume measure has factorized correlations and converges in probability to deterministic limits in the large $N$ limit, and correlations of a large class of observables decay exponentially, namely the infinite volume measure has a strictly positive mass gap. Our method improves earlier results or simplifies the proofs, and provides some new perspectives to the study of lattice Yang--Mills model."
core,rigorous_lgt,2022,Bootstrap for Lattice Yang-Mills theory,Vladimir Kazakov; Zechuan Zheng,journal/proceedings record,Phys.Rev.D 107 (2023) L051501,10.1103/PhysRevD.107.L051501,2203.11360,2203.11360v6,hep-th,57,51,INSPIRE,2026-08-21,2056834,large-N lattice Yang-Mills bootstrap from loop equations and positivity,https://arxiv.org/abs/2203.11360v6,https://arxiv.org/pdf/2203.11360v6,papers/core_cited_and_canonical/04_rigorous_lattice_yang_mills/2022_Kazakov_2203.11360.pdf,True,10,f9b3e94f40ef2a811f7243e7c25b6a60bb33dc563b9e1e6dc9ac2fc233d8d26f,2022-03-21,2025-01-27,"We study the $SU(\infty)$ lattice Yang-Mills theory at the dimensions $D=2,3,4$ via the numerical bootstrap method. It combines the Makeenko-Migdal loop equations, with a cut-off $L_{\mathrm{max}}$ on the maximal length of loops, and positivity conditions on certain matrices of Wilson loops. Our algorithm is inspired by the pioneering paper of P. Anderson and M. Kruczenski but it is significantly more efficient, as it takes into account the symmetries of the lattice theory and uses the relaxation procedure in line with our previous work on matrix bootstrap. We thus obtain rigorous upper and lower bounds on the plaquette average at various couplings and dimensions. For $D=4$, the lower bound data appear to be close to the MC data in the strong coupling phase and the upper bound data in the weak coupling phase reproduce well the 3-loop perturbation theory. Our results suggest that this bootstrap approach can provide a tangible alternative to the, so far uncontested, Monte Carlo approach."
core,hamiltonian_quantum,2022,Loop-string-hadron formulation of an SU(3) gauge theory with dynamical quarks,Saurabh V. Kadam; Indrakshi Raychowdhury; Jesse R. Stryker,journal/proceedings record,"Phys. Rev. D 107, 094513 (2023)",10.1103/PhysRevD.107.094513,2212.04490,2212.04490v2,hep-lat,67,55,INSPIRE,2026-08-21,2612878,modern SU(3) gauge-invariant loop-string-hadron formulation,https://arxiv.org/abs/2212.04490v2,https://arxiv.org/pdf/2212.04490v2,papers/core_cited_and_canonical/07_hamiltonian_and_gauge_invariant_formulations/2022_Kadam_2212.04490.pdf,True,37,aa8e8e08147e8e5899e2c09926524d89ceaadeb481936e14dcfd563122756724,2022-12-08,2023-02-09,"Towards the goal of quantum computing for lattice quantum chromodynamics, we present a loop-string-hadron (LSH) framework in 1+1 dimensions for describing the dynamics of SU(3) gauge fields coupled to staggered fermions. This novel framework was previously developed for an SU(2) lattice gauge theory in $d\leq3$ spatial dimensions and its advantages for classical and quantum algorithms have thus far been demonstrated in $d=1$. The LSH approach uses gauge invariant degrees of freedoms such as loop segments, string ends, and on-site hadrons, it is free of all nonabelian gauge redundancy, and it is described by a Hamiltonian containing only local interactions. In this work, the SU(3) LSH framework is systematically derived from the reformulation of Hamiltonian lattice gauge theory in terms of irreducible Schwinger bosons, including the addition of staggered quarks. Furthermore, the superselection rules governing the LSH dynamics are identified directly from the form of the Hamiltonian. The SU(3) LSH Hamiltonian with open boundary conditions has been numerically confirmed to agree with the completely gauge-fixed Hamiltonian, which contains long-range interactions and does not generalize to either periodic boundary conditions or to $d>1$."
core,hamiltonian_quantum,2022,Quantum Simulation for High Energy Physics,Christian W. Bauer; Zohreh Davoudi; A. Baha Balantekin; Tanmoy Bhattacharya; Marcela Carena; Wibe A. de Jong; Patrick Draper; Aida El-Khadra; Nate Gemelke; Masanori Hanada; Dmitri Kharzeev; Henry Lamm; Ying-Ying Li; Junyu Liu; Mikhail Lukin; Yannick Meurice; Christopher Monroe; Benjamin Nachman; Guido Pagano; John Preskill; Enrico Rinaldi; Alessandro Roggero; David I. Santiago; Martin J. Savage; Irfan Siddiqi; George Siopsis; David Van Zanten; Nathan Wiebe; Yukari Yamauchi; Kübra Yeter-Aydeniz; Silvia Zorzetti,journal/proceedings record,"PRX Quantum 4, 027001, 2023",10.1103/PRXQuantum.4.027001,2204.03381,2204.03381v1,quant-ph,549,402,INSPIRE,2026-08-21,2064292,peer-reviewed high-energy quantum-simulation review,https://arxiv.org/abs/2204.03381v1,https://arxiv.org/pdf/2204.03381v1,papers/core_cited_and_canonical/07_hamiltonian_and_gauge_invariant_formulations/2022_Bauer_2204.03381.pdf,True,103,719833e6ac3fcb887dc3d9b29ce7dacc749c1a3f924ec422eee27fbc64233aa0,2022-04-07,2022-04-07,"It is for the first time that Quantum Simulation for High Energy Physics (HEP) is studied in the U.S. decadal particle-physics community planning, and in fact until recently, this was not considered a mainstream topic in the community. This fact speaks of a remarkable rate of growth of this subfield over the past few years, stimulated by the impressive advancements in Quantum Information Sciences (QIS) and associated technologies over the past decade, and the significant investment in this area by the government and private sectors in the U.S. and other countries. High-energy physicists have quickly identified problems of importance to our understanding of nature at the most fundamental level, from tiniest distances to cosmological extents, that are intractable with classical computers but may benefit from quantum advantage. They have initiated, and continue to carry out, a vigorous program in theory, algorithm, and hardware co-design for simulations of relevance to the HEP mission. This community whitepaper is an attempt to bring this exciting and yet challenging area of research to the spotlight, and to elaborate on what the promises, requirements, challenges, and potential solutions are over the next decade and beyond."
core,spectrum,2022,Spectrum of Large N Glueballs: Holography vs Lattice,Anatoly Dymarsky; Dmitry Melnikov,journal/proceedings record,JHEP 11 (2022) 164,10.1007/JHEP11(2022)164,2206.14826,2206.14826v1,hep-lat,4,4,INSPIRE,2026-08-21,2103886,large-N lattice glueball spectrum comparison and synthesis,https://arxiv.org/abs/2206.14826v1,https://arxiv.org/pdf/2206.14826v1,papers/core_cited_and_canonical/01_glueball_spectrum/2022_Dymarsky_2206.14826.pdf,True,18,a8ccd8d25b79bd29768ba42fcfc5e96c92c2f2485009e6091851c174d87a63e7,2022-06-29,2022-06-29,"Recently there has been a notable progress in the study of glueball states in lattice gauge theories, in particular extrapolating their spectrum to the limit of large number of colors $N$. In this note we compare the large $N$ lattice results with the holographic predictions, focusing on the Klebanov-Strassler model. We note that glueball spectrum demonstrates approximate universality across a range of gauge theory models. Because of this universality the holographic models can give reliable predictions for the spectrum of pure $SU(N)$ Yang-Mills theories with and without supersymmetry. This is especially important for the supersymmetric theories, for which no firm lattice predictions exist yet, and the holographic models remain the most tractable approach. For non-supersymmetric pure $SU(N)$ theories with large $N$ we find an agreement within 5-8% between the lattice and holographic predictions for the mass ratios of the lightest states in various sectors. In particular both lattice and holography give predictions for the $2^{++}$ and $1^{--}$ mass ratio, consistent with the known constraints on the pomeron and odderon Regge trajectories."
core,spectrum,2022,Towards glueball masses of large-$N$ $\mathrm{SU}(N)$ pure-gauge theories without topological freezing,Claudio Bonanno; Massimo D'Elia; Biagio Lucini; Davide Vadacchino,journal/proceedings record,Physics Letters B 833 (2022) 137281,10.1016/j.physletb.2022.137281,2205.06190,2205.06190v2,hep-lat,53,14,INSPIRE,2026-08-21,2080518,large-N glueball masses without topological freezing,https://arxiv.org/abs/2205.06190v2,https://arxiv.org/pdf/2205.06190v2,papers/core_cited_and_canonical/01_glueball_spectrum/2022_Bonanno_2205.06190.pdf,True,16,1eea3d114d2c1c7ccf8db2a931d3c8d6727a3a0c22709b6a5e9382572fdb5718,2022-05-12,2022-07-08,"In commonly used Monte Carlo algorithms for lattice gauge theories the integrated autocorrelation time of the topological charge is known to be exponentially-growing as the continuum limit is approached. This $\mathit{topological}\,\,\textit{freezing}$, whose severity increases with the size of the gauge group, can result in potentially large systematics. To provide a direct quantification of the latter, we focus on $\mathrm{SU}(6)$ Yang--Mills theory at a lattice spacing for which conventional methods associated to the decorrelation of the topological charge have an unbearable computational cost. We adopt the recently proposed $\mathit{parallel}\,\,\mathit{tempering}\,\,\mathit{on}\,\,\mathit{boundary}\,\,\mathit{conditions}$ algorithm, which has been shown to remove systematic effects related to topological freezing, and compute glueball masses with a typical accuracy of $2-5\%$. We observe no sizeable systematic effect in the mass of the first lowest-lying glueball states, with respect to calculations performed at nearly-frozen topological sector."
core,rigorous_lgt,2021,A state space for 3D Euclidean Yang-Mills theories,Sky Cao; Sourav Chatterjee,journal/proceedings record,Commun.Math.Phys. 405 (2024) 3,10.1007/s00220-023-04870-y,2111.12813,2111.12813v4,math.PR,13,12,INSPIRE,2026-08-21,1976935,rigorous state space for three-dimensional Euclidean Yang-Mills,https://arxiv.org/abs/2111.12813v4,https://arxiv.org/pdf/2111.12813v4,papers/core_cited_and_canonical/04_rigorous_lattice_yang_mills/2021_Cao_2111.12813.pdf,True,73,cd9752bf40f0b3d2a5d836af74cfbfa066c9d2f454a1a9681b482159f2a7a809,2021-11-24,2023-11-20,"It is believed that Euclidean Yang-Mills theories behave like the massless Gaussian free field (GFF) at short distances. This makes it impossible to define the main observables for these theories - the Wilson loop observables - in dimensions greater than two, because line integrals of the GFF do not exist in such dimensions. Taking forward a proposal of Charalambous and Gross, this article shows that it is possible to define Euclidean Yang-Mills theories on the 3D unit torus as ""random distributional gauge orbits"", provided that they indeed behave like the GFF in a certain sense. One of the main technical tools is the existence of the Yang-Mills heat flow on the 3D torus starting from GFF-like initial data, which is established in a companion paper. A key consequence of this construction is that under the GFF assumption, one can define a notion of ""regularized Wilson loop observables"" for Euclidean Yang-Mills theories on the 3D unit torus."
