[    9.2s] N=5: beta_assembled = 126537112003083861011/12716894720031723060840 ; corpus = 126537112003083861011/12716894720031723060840 ; equal = True ; pair_normal = 0 (9.2s)
[   22.7s] N=6: beta_assembled = 235401086266217267636986869176/88159201615617988827817767796875 ; corpus = 235401086266217267636986869176/88159201615617988827817767796875 ; equal = True ; pair_normal = 0 (13.4s)
[   38.1s] N=7: beta_assembled = 11387379461234641255168792850411/12841733352689609963907325088275200 ; corpus = 11387379461234641255168792850411/12841733352689609963907325088275200 ; equal = True ; pair_normal = 0 (15.4s)
[   53.1s] N=8: beta_assembled = 13971894733846427353483646494634/40728970406051861925632489622057375 ; corpus = 13971894733846427353483646494634/40728970406051861925632489622057375 ; equal = True ; pair_normal = 0 (15.0s)
[   66.2s] N=9: beta_assembled = 386603144997200257244249722447/2596656719858822358638509224000000 ; corpus = 386603144997200257244249722447/2596656719858822358638509224000000 ; equal = True ; pair_normal = 0 (13.1s)
[   78.0s] N=10: beta_assembled = 214948843662643269839315997606776/3040500171801258704895478192424506725 ; corpus = 214948843662643269839315997606776/3040500171801258704895478192424506725 ; equal = True ; pair_normal = 0 (11.7s)
[   90.1s] N=11: beta_assembled = 20640879757373116933689219554720115623/572027514935794536703068791271798609375000 ; corpus = 20640879757373116933689219554720115623/572027514935794536703068791271798609375000 ; equal = True ; pair_normal = 0 (12.1s)
[  103.2s] N=12: beta_assembled = 1026955606191524704384280222729/52544664926217781212106059183009675 ; corpus = 1026955606191524704384280222729/52544664926217781212106059183009675 ; equal = True ; pair_normal = 0 (13.1s)
[  116.2s] N=13: beta_assembled = 261659678598293623326447423196972709/23519191519294292981458476464630621077800 ; corpus = 261659678598293623326447423196972709/23519191519294292981458476464630621077800 ; equal = True ; pair_normal = 0 (13.0s)
[  130.0s] N=14: beta_assembled = 770268293368932657161659405997525570919392152/116602835634664242164532288382015431533604779296875 ; corpus = 770268293368932657161659405997525570919392152/116602835634664242164532288382015431533604779296875 ; equal = True ; pair_normal = 0 (13.8s)
[  143.6s] N=15: beta_assembled = 105635252766693859317413744997711205264327/25971435102880451768513521921305182761760916480 ; corpus = 105635252766693859317413744997711205264327/25971435102880451768513521921305182761760916480 ; equal = True ; pair_normal = 0 (13.7s)
[  156.9s] N=16: beta_assembled = 946983556176767249058106828825368303895517/366393766500616822360930684940614796605239984375 ; corpus = 946983556176767249058106828825368303895517/366393766500616822360930684940614796605239984375 ; equal = True ; pair_normal = 0 (13.2s)
[  170.4s] N=17: beta_assembled = 532576445935304419367830091936927173495247/315416496254482471836714738806646613904539161600 ; corpus = 532576445935304419367830091936927173495247/315416496254482471836714738806646613904539161600 ; equal = True ; pair_normal = 0 (13.5s)
[  182.8s] N=18: beta_assembled = 4803914048177808058030114992881638847816408/4249721354278350688221559214480191127737482347325 ; corpus = 4803914048177808058030114992881638847816408/4249721354278350688221559214480191127737482347325 ; equal = True ; pair_normal = 0 (12.4s)
[  195.0s] N=19: beta_assembled = 29448989554755797952659394938078007795870856951/38073630469536213267682552398243058302240941227125000 ; corpus = 29448989554755797952659394938078007795870856951/38073630469536213267682552398243058302240941227125000 ; equal = True ; pair_normal = 0 (12.2s)
[  208.1s] N=20: beta_assembled = 269896454528896766650375902923322516590071/500086495341014181420096834384579333218865937710 ; corpus = 269896454528896766650375902923322516590071/500086495341014181420096834384579333218865937710 ; equal = True ; pair_normal = 0 (13.0s)
[  220.2s] N=21: beta_assembled = 44934589620233576601349053702324111242812984997/117236517490808623206886138486889558473458676962875000 ; corpus = 44934589620233576601349053702324111242812984997/117236517490808623206886138486889558473458676962875000 ; equal = True ; pair_normal = 0 (12.1s)
[  231.4s] N=22: beta_assembled = 325875738852327617383137808788267566970070758997544/1178218089480346691184182827376274732984940212711399742425 ; corpus = 325875738852327617383137808788267566970070758997544/1178218089480346691184182827376274732984940212711399742425 ; equal = True ; pair_normal = 0 (11.2s)
[  240.9s] N=23: beta_assembled = 6953374871957441405391577932565128224698771/34335152705975616726848145962253135353509381886976 ; corpus = 6953374871957441405391577932565128224698771/34335152705975616726848145962253135353509381886976 ; equal = True ; pair_normal = 0 (9.5s)
[  250.3s] N=24: beta_assembled = 1421795046985756166523704592485263092009281942/9461699226803873476984271151770768274589928513671875 ; corpus = 1421795046985756166523704592485263092009281942/9461699226803873476984271151770768274589928513671875 ; equal = True ; pair_normal = 0 (9.3s)
[  259.5s] N=25: beta_assembled = 69454064121205925203130519541175890439383632380801/615335539946778611659010889031118175567013414188447187200 ; corpus = 69454064121205925203130519541175890439383632380801/615335539946778611659010889031118175567013414188447187200 ; equal = True ; pair_normal = 0 (9.3s)
[  269.1s] N=26: beta_assembled = 269611660805264613283235967177187181271030500138443528/3144464666013729148577860108359581083673126873550974513671875 ; corpus = 269611660805264613283235967177187181271030500138443528/3144464666013729148577860108359581083673126873550974513671875 ; equal = True ; pair_normal = 0 (9.5s)
[  278.3s] N=27: beta_assembled = 3995928235799798051160875136619855307036088055/60715765007490865343271272623412384542903726939087992 ; corpus = 3995928235799798051160875136619855307036088055/60715765007490865343271272623412384542903726939087992 ; equal = True ; pair_normal = 0 (9.3s)
[  287.9s] N=28: beta_assembled = 203353404757533576812623277657328144851247579319/3986785723372363895812326172178298578982960511202192355 ; corpus = 203353404757533576812623277657328144851247579319/3986785723372363895812326172178298578982960511202192355 ; equal = True ; pair_normal = 0 (9.6s)
[  297.3s] N=29: beta_assembled = 73261039836782791026614976774666890307304773045275663/1836703572739997165052983153777131140163593840646934460375000 ; corpus = 73261039836782791026614976774666890307304773045275663/1836703572739997165052983153777131140163593840646934460375000 ; equal = True ; pair_normal = 0 (9.4s)
[  306.7s] N=30: beta_assembled = 175931103690965786635927228192845302283157672/5593387402354881171547798029001952893951128765929205 ; corpus = 175931103690965786635927228192845302283157672/5593387402354881171547798029001952893951128765929205 ; equal = True ; pair_normal = 0 (9.4s)
[  316.5s] N=31: beta_assembled = 69869290833830627637072659304356325950334101460328573/2795086823494860155216971089492451214594395800435666048000000 ; corpus = 69869290833830627637072659304356325950334101460328573/2795086823494860155216971089492451214594395800435666048000000 ; equal = True ; pair_normal = 0 (9.9s)
[  325.8s] N=32: beta_assembled = 43331745206905634867576500357927142586984071872567/2165300189810764271053542189012016419155400677433367379850 ; corpus = 43331745206905634867576500357927142586984071872567/2165300189810764271053542189012016419155400677433367379850 ; equal = True ; pair_normal = 0 (9.3s)
