'Workhouse.anisotropy_variance_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.anisotropy_variance_nonnegative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.anisotropy_shape_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.anisotropy_centered_moment_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.anisotropy_variance_upper_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.anisotropy_variance_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.anisotropy_axis_node' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.anisotropy_face_node' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.anisotropy_body_node' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.anisotropy_generic_holdout' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.anisotropy_induced_coefficient' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.wilson_square_sharp_constant' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.wilson_square_sharp_constant_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.wilson_square_first_source_saturates' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.wilson_square_radial_ratio_difference' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.wilson_square_radial_ratio_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.wilson_square_radial_ratio_strict' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.wilson_square_finite_radial_synthesis_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.wilson_grid_block_energy_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.wilson_grid_block_energy_lower_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.wilson_grid_block_energy_upper_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.wilson_grid_block_energy_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.VacuumChart.rankOne_adjoint' depends on axioms: [propext, Quot.sound]
'Workhouse.VacuumChart.generator_antihermitian' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.VacuumChart.generator_vacuum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.VacuumChart.fixed_vacuum_row' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.VacuumChart.scalar_vacuum_cancellation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.VacuumChart.corrected_vacuum_column' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.VacuumChart.corrected_hermitian' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.VacuumChart.corrected_vacuum_legs' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.VacuumChart.endpoint_disjoint_cancellation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.VacuumCompression.vacuum_projection' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.VacuumCompression.vacuum_corner_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.VacuumCompression.corrected_eq_sub_vacuum_terms' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.VacuumCompression.corrected_eq_compression' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.RootedScalarBounds.normalized_taylor_growth' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.CreatorParent.idempotent_square_defect' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.CreatorParent.commuting_pair_square' depends on axioms: [propext]
'Workhouse.CreatorParent.wilson_gap_constant' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.GlobalWilsonVertical.strip_factor' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.GlobalWilsonVertical.near_cap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.GlobalWilsonVertical.near_affine' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.GlobalWilsonVertical.far_affine' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.GlobalWilsonVertical.spectral_from_split' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.GlobalWilsonVertical.two_sector_form' depends on axioms: [propext, Classical.choice, Quot.sound]
'Workhouse.GlobalWilsonVertical.half_potential_threshold' depends on axioms: [propext, Classical.choice, Quot.sound]
